# W1 = uni/uni fixed 100-byte
# W2 = uni/uni 100->130 byte 0% delete
# W3 = uni/uni 100->130 byte 90% delete
# W4 = uni/uni 100:200 -> 150:250 0% delete
# W5 = uni/uni 100:200 -> 150:250 90% delete
# W6 = uni/uni 100:200 -> 1000:2000 50% delete
# W7 = uni/uni 1000:2000 -> 1500:2500 50% delete
# W8 = uni/uni 50:150 -> 5,000:15,000 90% delete
Allocator               W1    W2    W3    W4    W5    W6    W7    W8
"Boehm GC 7.2d"         14.85 27.24 27.56 19.92 18.73 25.74 18.71 26.38
"glibc 2.12 malloc"     11.20 13.73 11.76 12.23 11.75 16.38 11.17 20.16
"Hoard 3.9"             12.83 32.61 32.61 15.38 15.38 28.63 23.79 0
"Java 1.7.0 OpenJDK"    20.43 20.42 20.43 19.67 19.67 19.83 18.81 20.81
"jemalloc 3.3.0"        11.44 23.00 23.00 16.87 16.80 21.99 17.13 22.66
"memcached 1.4.13"      10.40 20.91 20.91 16.89 16.89 22.69 16.59 22.76
"tcmalloc 2.0"          11.29 21.81 21.81 15.90 15.84 20.97 15.25 21.64
